regime,n,mean_actual,mean_prediction,mean_error,mean_absolute_error,rmse,underprediction_rate_pct,overprediction_rate_pct
LOW,864,0.16535037629557628,0.16761812257808978,0.002267746282513536,0.01092182962775052,0.01712555107707776,43.40277777777778,56.59722222222222
MODERATE,1317,0.3768232405419897,0.37654465217434646,-0.0002785883676432469,0.014665711155062483,0.020223484093356427,49.278663629460894,50.721336370539106
HIGH,1485,0.6346035198898934,0.6340642920046141,-0.0005392278852791524,0.015369695183099987,0.02158608664464084,52.92929292929293,47.070707070707066
VERY_HIGH,1316,0.8756527735297729,0.8692798479530949,-0.0063729255766778944,0.01424281462959316,0.01987883856343905,64.66565349544074,33.358662613981764
