rank,feature,importance,importance_pct,cumulative_importance_pct,categorical
1,demand_class_code,197.9620819091797,71.94818845503636,71.94818845503636,False
2,availability_rate,22.826248168945312,8.296069576264395,80.24425803130076,False
3,available_ratio,19.46377182006836,7.073996744480425,87.31825477578118,False
4,remaining_capacity_ratio,8.152198791503906,2.9628701078377806,90.28112488361897,False
5,calculated_demand_level,7.099939823150635,2.5804325933984424,92.86155747701741,False
6,occupied_ratio,4.765911102294922,1.7321431803550082,94.59370065737242,False
7,demand_pressure,3.781080484390259,1.374212114920962,95.96791277229339,False
8,capacity_utilization,3.4595694541931152,1.2573607665823976,97.22527353887578,False
9,is_moderate_occupancy,3.136728048324585,1.140025900801514,98.3652994396773,False
10,demand_class,1.0235446691513062,0.3720014663314731,98.73730090600877,True
11,demand_level,0.42832955718040466,0.15567393211704242,98.89297483812581,False
12,occupancy_level,0.3355245590209961,0.12194448538286556,99.01491932350868,True
13,occupancy_rate_roll_missing_6h,0.31386688351631165,0.11407312686975427,99.12899245037843,False
14,occupancy_rate_roll_count_6h,0.1603548675775528,0.05828006111516438,99.1872725114936,False
15,occupancy_rate_roll_trend_1h,0.15741683542728424,0.057212250104106945,99.2444847615977,False
16,hour,0.10400836169719696,0.03780124524919188,99.2822860068469,False
17,occupancy_rate_roll_max_6h,0.09533461928367615,0.034648823089554553,99.31693482993646,False
18,occupancy_rate_roll_max_2h,0.09264326840639114,0.03367066697879813,99.35060549691525,False
19,half_hour_slot,0.08641387522220612,0.03140662959116405,99.38201212650641,False
20,occupancy_rate_lag_1h,0.07980788499116898,0.029005720156937944,99.41101784666334,False
21,occupancy_rate_lag_2h,0.0775303840637207,0.028177975447677188,99.43919582211102,False
22,occupancy_rate_lag_3h,0.07541880756616592,0.0274105350251573,99.46660635713617,False
23,occupancy_rate_roll_max_3h,0.06855593621730804,0.024916263615257565,99.49152262075143,False
24,occupancy_rate_roll_trend_2h,0.06330345571041107,0.02300727956274592,99.51452990031417,False
25,occupancy_within_capacity,0.05845584347844124,0.021245442573262673,99.53577534288743,False
26,occupancy_rate_roll_max_1h,0.047885049134492874,0.017403547720253643,99.55317889060768,False
27,occupancy_rate_roll_std_1h,0.046879902482032776,0.01703823290804973,99.57021712351573,False
28,occupied_spaces_roll_trend_1h,0.04624762386083603,0.016808434853011974,99.58702555836875,False
29,available_spaces_roll_min_12h,0.045766837894916534,0.01663369593862542,99.60365925430737,False
30,occupancy_rate_roll_count_12h,0.04321388527750969,0.015705839885271553,99.61936509419264,False
31,occupancy_rate_roll_trend_3h,0.038753099739551544,0.014084592849236867,99.63344968704189,False
32,available_spaces_roll_trend_1h,0.03733702376484871,0.013569928120961729,99.64701961516285,False
33,occupancy_rate_lag_6h,0.034450963139534,0.01252100586393037,99.65954062102678,False
34,occupancy_rate_lag_30m,0.03403831645846367,0.012371031783598089,99.67191165281038,False
35,available_spaces_lag_6h,0.03339505195617676,0.012137240972799246,99.68404889378319,False
36,occupancy_rate_roll_median_1d,0.030539054423570633,0.011099244975175138,99.69514813875836,False
37,occupancy_rate_roll_mean_1d,0.023091837763786316,0.00839259659819218,99.70354073535655,False
38,occupancy_rate_roll_max_1d,0.02172260731458664,0.007894957608708385,99.71143569296527,False
39,occupancy_rate_roll_missing_12h,0.021389398723840714,0.007773854848772655,99.71920954781405,False
40,month,0.02002856321632862,0.007279266952916398,99.72648881476697,False
41,day_of_week_sin,0.01845466159284115,0.00670724139365644,99.73319605616062,False
42,time_slot,0.015895703807473183,0.005777202796292105,99.73897325895692,False
43,demand_excess_pressure,0.015713511034846306,0.005710985873264806,99.74468424483018,False
44,occupied_spaces_roll_max_12h,0.014823570847511292,0.005387542193068185,99.75007178702324,False
45,occupied_spaces_roll_trend_2h,0.014370374381542206,0.0052228305249232745,99.75529461754817,False
46,occupied_spaces_lag_2h,0.01407240517437458,0.005114535317758654,99.76040915286593,False
47,occupied_spaces_roll_median_12h,0.01359571423381567,0.004941284716959883,99.7653504375829,False
48,occupied_spaces_lag_6h,0.013143558986485004,0.0047769514737845305,99.77012738905668,False
49,available_spaces_roll_min_1h,0.013083260506391525,0.004755036335453604,99.77488242539214,False
50,available_spaces_roll_min_1d,0.012291742488741875,0.004467363630912436,99.77934978902304,False
51,occupancy_rate_roll_count_1h,0.011805634945631027,0.004290690619677894,99.78364047964273,False
52,available_spaces_roll_trend_2h,0.011401223950088024,0.004143709752230936,99.78778418939496,False
53,day_of_week,0.011241720989346504,0.004085739311791579,99.79186992870675,False
54,occupancy_rate_roll_count_3h,0.010946393013000488,0.003978404044889628,99.79584833275163,False
55,occupied_spaces_roll_trend_6h,0.01017699670046568,0.0036987713477741233,99.7995471040994,False
56,available_spaces_roll_mean_1h,0.010171185247600079,0.003696659208409153,99.80324376330782,False
57,occupied_spaces_roll_max_6h,0.00997341051697731,0.003624779111709528,99.80686854241952,False
58,occupancy_rate_roll_min_12h,0.009849491529166698,0.003579741463074141,99.8104482838826,False
59,occupied_spaces_lag_3h,0.009530717507004738,0.0034638848646797032,99.81391216874728,False
60,occupancy_rate_roll_std_1d,0.009461551904678345,0.0034387470213978343,99.81735091576867,False
61,is_friday,0.009422238916158676,0.003424458940168009,99.82077537470884,False
62,occupancy_rate_roll_min_1h,0.009373682551085949,0.003406811406502714,99.82418218611535,False
63,occupied_spaces_roll_median_1d,0.009173482656478882,0.0033340498977988604,99.82751623601315,False
64,is_saturday,0.008638042956590652,0.0031394473958331545,99.83065568340899,False
65,available_spaces_roll_max_1d,0.008402771316468716,0.003053939261455256,99.83370962267044,False
66,occupancy_rate_roll_median_6h,0.008306118659675121,0.0030188114051577265,99.8367284340756,False
67,occupied_spaces_roll_mean_3h,0.008160071447491646,0.00296573137970957,99.8396941654553,False
68,available_spaces_roll_trend_6h,0.008154358714818954,0.0029636551196350943,99.84265782057493,False
69,available_spaces_roll_median_1d,0.008109066635370255,0.002947193971943232,99.84560501454688,False
70,occupied_spaces_roll_min_2h,0.008079889230430126,0.0029365896106988178,99.84854160415757,False
71,minute,0.008045441471040249,0.002924069769219409,99.8514656739268,False
72,minutes_since_week_start,0.007905260659754276,0.002873121853684705,99.85433879578048,False
