rank,candidate_id,description,mae,rmse,r2,mape,mae_improvement_vs_baseline,mae_improvement_vs_baseline_pct,rmse_improvement_vs_baseline,r2_improvement_vs_baseline,training_seconds,max_depth,min_child_weight,learning_rate,n_estimators,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
1,TUNE_014,Higher L1 regularisation,0.01349578909833505,0.0198053984965012,0.9949841628990295,3.327936130664755,0.0002712109016649502,1.9700072758404168,0.00036160150349880127,0.00018516289902947847,21.265013899999758,6,1.0,0.05,300,0.9,0.9,0.0,0.1,1.0
2,TUNE_008,Moderate learning rate,0.013616880158122669,0.019943376676165563,0.9949140318370948,3.443588716696908,0.00015011984187733064,1.0904324971114305,0.00022362332383443762,0.00011503183709482556,17.370338800000354,6,1.0,0.06,250,0.9,0.9,0.0,0.0,1.0
3,TUNE_009,Lower row subsampling,0.0136442008050472,0.019986419045456512,0.9948920547812886,3.465144166860315,0.00012279919495280026,0.891982239796617,0.00018058095454348902,9.305478128862621e-05,20.10059749999982,6,1.0,0.05,300,0.75,0.9,0.0,0.0,1.0
4,TUNE_005,Strong minimum child weight,0.013714055483354751,0.02014930440930923,0.9948084580279013,3.4498467204505494,5.2944516645248366e-05,0.38457555491572865,1.76955906907722e-05,9.458027901310118e-06,17.27885100000003,6,10.0,0.05,300,0.9,0.9,0.0,0.0,1.0
5,TUNE_012,Full column sampling,0.01373957848459622,0.02014244498893785,0.9948119921357319,3.4551021573662126,2.7421515403780114e-05,0.19918294039209788,2.4555011062150217e-05,1.2992135731915155e-05,20.522541999999703,6,1.0,0.05,300,0.9,1.0,0.0,0.0,1.0
6,TUNE_007,Higher learning rate,0.013745490549408244,0.02005807232693293,0.9948553641554615,3.4391577787710457,2.1509450591756032e-05,0.15623919947523812,0.00010892767306707254,5.636415546150797e-05,14.695151799999621,6,1.0,0.08,200,0.9,0.9,0.0,0.0,1.0
7,TUNE_011,Lower column subsampling,0.013756992413073547,0.02009844245190198,0.9948346344868197,3.4167356311539296,1.0007586926452997e-05,0.0726925759167066,6.855754809802217e-05,3.563448681975778e-05,19.440450000000055,6,1.0,0.05,300,0.9,0.75,0.0,0.0,1.0
8,TUNE_002,Baseline-depth trees,0.013767119410825805,0.02016716032178501,0.9947992526685988,3.4156847455745223,-1.194108258054799e-07,-0.0008673699847859367,-1.6032178500741123e-07,2.526685988213373e-07,20.849155800000062,6,1.0,0.05,300,0.9,0.9,0.0,0.0,1.0
9,TUNE_010,Higher row subsampling,0.013795528148788207,0.020341671020288853,0.9947088569161076,3.4126988149082798,-2.8528148788207336e-05,-0.20722124492051525,-0.0001746710202888517,-9.014308389243553e-05,23.921948300000167,6,1.0,0.05,300,1.0,0.9,0.0,0.0,1.0
10,TUNE_006,Lower learning rate,0.013806947533291475,0.020178240636458355,0.9947935362715881,3.5834104559886866,-3.994753329147546e-05,-0.2901687607429031,-1.1240636458353936e-05,-5.463728411925217e-06,33.64519139999993,6,1.0,0.03,500,0.9,0.9,0.0,0.0,1.0
11,TUNE_004,Higher minimum child weight,0.013825715931982474,0.02036755488541708,0.9946953828639,3.4660696455111197,-5.8715931982474684e-05,-0.42649765368253567,-0.00020055488541707855,-0.00010361713609996492,19.465615600000092,6,5.0,0.05,300,0.9,0.9,0.0,0.0,1.0
12,TUNE_015,Higher L2 regularisation,0.01385860486191841,0.02044757946915735,0.9946536170539906,3.3604467086362835,-9.160486191841025e-05,-0.6653945080148924,-0.00028057946915734794,-0.00014538294600940915,20.027932599999986,6,1.0,0.05,300,0.9,0.9,0.0,0.0,5.0
13,TUNE_003,Deeper trees,0.01397804857241529,0.0206399954653208,0.9945525224591751,3.461084813696893,-0.00021104857241529065,-1.533003358867514,-0.0004729954653207996,-0.00024647754082485207,44.41215740000007,8,1.0,0.05,300,0.9,0.9,0.0,0.0,1.0
14,TUNE_001,Shallower trees,0.014373594888782154,0.021088555023242066,0.9943131745338241,3.6937019500769974,-0.000606594888782154,-4.4061515855462625,-0.0009215550232420655,-0.0004858254661759265,13.314448999999968,4,1.0,0.05,300,0.9,0.9,0.0,0.0,1.0
15,TUNE_016,Balanced regularised model,0.015538893083110156,0.02284717643187088,0.9933251528634354,3.9514198257475375,-0.001771893083110156,-12.870582429797023,-0.0026801764318708787,-0.001473847136564621,16.3243109,6,3.0,0.04,350,0.85,0.85,0.05,0.05,2.0
16,TUNE_013,Higher gamma,0.016491466754472345,0.024158056637317085,0.9925372267949836,4.318430620866833,-0.0027244667544723458,-19.789836234999242,-0.003991056637317084,-0.002261773205016415,10.109830800000054,6,1.0,0.05,300,0.9,0.9,0.1,0.0,1.0
